,question
10127,Lodgepole cones remain closed until exposed to what?
10128,What is the change of state from a gas to a liquid?
10129,The steropodon may have been an ancestor of which animal?
10130,"Closely associated with ""work"", what is characterized by its many forms and the fact that it is conserved?"
10131,What is the time it takes for radioactive substance to decay?
10132,What type of biomes are found in the salt water of the ocean?
10133,What is formed when an enzyme binds its substrate?
10134,What type of rock is a sandstone?
10135,Which acids provide the molecular blueprints for all proteins produced in living systems?
10136,Cephalopods have three hearts that pump blood of what color?
10137,"Influenza is a type of what, where glycoproteins attach to a host epithelial cell?"
10138,What is the smallest aromatic hydrocarbon?
10139,A hypothesis is scientific only if it can be tested by what?
10140,Aging occurs as cells lose their ability to do what?
10141,The tyndall effect refers to the scattering of what by colloidal particles?
10142,Acids are associated with a low number on which scale?
10143,"Said to go hand-in-hand with science, what evolves as new materials, designs, and processes are invented?"
10144,What are the poles labeled?
10145,"What is considered to be the ""fundamental unit"" of life?"
10146,"What two states of matter are included in the category ""fluids""?"
10147,"When matter changes into an entirely different substance with different chemical properties, what has occurred?"
10148,Phospholipids are unable to mix with what?
10149,What are molecules that the immune system recognize as foreign to the body?
10150,"The end result of diffusion is an equal concentration, or equilibrium , of molecules on both sides of what?"
10151,What paired organs that are part of the urinary system play the prime role in excretion?
10152,The fungus benefits from the constant supply of food produced by what?
10153,Gases can be classifed as real or what?
10154,What is a mutation?
10155,What are biological catalysts that speeds up biochemical reactions?
10156,What type of reaction is a transfer of a proton from one molecule or ion to another?
10157,"What part of the plant, in general, is responsible for transport and storage of water and minerals?"
10158,One gram of carbohydrates provides how many calories of energy?
10159,Mushrooms and other fungi obtain energy from what?
10160,How are protozoa that cause giardiasis spread?
10161,"What can prevent the passage of molecules and ions between cells, such as in the blood-brain barrier?"
10162,Give an example of air pollution while painting indoors.
10163,What plays a variety of important roles in biochemical systems?
10164,What type of plants grow on other plants?
10165,What provides a protective covering for the body and helps maintain homeostasis?
10166,Uranium is an important part of the process used to harness which type of power?
10167,Budding and fission in annelids are examples of what type of reproduction?
10168,What is the process by which plants make their own food?
10169,In what part of the carbon cycle does carbon move between living things and the air?
10170,Herbivores and the bacteria that live in their intestines demonstrate a two-way beneficial relationship called what?
10171,What joins within each testis to form the epididymis?
10172,How many layers of phospholipids does the cell membrane contain?
10173,What process within cells makes sure that every gamete receives a copy of every chromosome?
10174,Do amphibians and reptiles maintain a constant body temperature?
10175,"Most vascular plants are seed plants, also known as?"
10176,Centrifuges use what to perform their task?
10177,What are the two unique features of mollusks?
10178,Name the two types of water turtles live in.
10179,What structures are located on roof of the nasopharynx and on each side of the pharynx?
10180,What colorful arc-shaped atmospheric phenomena are produced by a combination of refraction and reflection?
10181,Rabies transmission occurs when saliva from an infected mammal enters a wound. the virus travels through neurons in the peripheral nervous system to the central nervous system where it impairs this?
10182,Newton realized that the nature of gravity on earth that pulls an apple to the ground could explain the motion of these?
10183,Where do most of the steps of cellular respiration take place?
10184,Which metal is not solid at room temperature?
10185,Induced mutations are caused by environmental factors. what term is used to describe a mutation that has no environmental cause?
10186,What part of the cell does cellular respiration occur?
10187,How is the chance of survival affected when animals lack parental care?
10188,Elements with magic numbers of what tend to have more stable isotopes?
10189,What is the term for the steep sloped side of a sand dune?
10190,Pulleys are generally used to do what with objects?
10191,What term describes how close estimates are to one another?
10192,"What are membrane-bound organelles that can have secretory, excretory, and storage functions?"
10193,"The structural classification of joints divides them into bony, fibrous, cartilaginous, and synovial joints. the bones of fibrous joints are held together by fibrous connective tissue; the three types of fibrous joints are sutures, syndesomes, and what?"
10194,"A catalyst can increase the rate of what, in general?"
10195,Which crust lies deep inside the ocean?
10196,What is the most significant cause of respiratory disease as well as cardiovascular disease and cancer?
10197,What type of light can you feel as heat but not see and has the longest wavelengths and lowest frequencies?
10198,"Ionic, molecular, covalent, and metallic are major types of what state of matter?"
10199,What forces keep the moon orbiting the earth?
10200,"Snow and ice may also undergo which process where there is intense sunlight, very cold temperatures, and dry winds?"
10201,Electromagnets can be controlled by controlling what type of current?
10202,The rate of evolution is influenced by the rate of changes to what?
10203,What do you call a device that produces a very focused beam of visible light of just one wavelength and color?
10204,Bubbles in bread dough are created by what gas produced during alcoholic fermentation?
10205,What is the capacity to cause change?
10206,Ocean currents transfer heat from the equator towards what locations?
10207,"In sexual reproduction, two of what unite to produce an offspring?"
10208,What are the ends of long bones called?
10209,Convection is the transfer of thermal energy by particles moving through what?
10210,What happens when waves reach the shore?
10211,What is an involuntary muscle contraction that moves rapidly along an organ like a wave called?
10212,What is the purpose of water molds in fresh water environments?
10213,What corrosive substances capable of dissolving many metals can cause contamination if spilled?
10214,What is always conserved in chemical reactions?
10215,A polyatomic ion is an ion composed of more than one what?
10216,Mutualism is an interaction between individuals of two different species that has what effect on both of them?
10217,"What are the structural and functional units of the nervous system, which transmit nerve impulses to other cells?"
10218,"If hot water becomes trapped, pressure may build up. when the water breaks free, it creates what?"
10219,What electrical force is responsible for fission?
10220,"Which law states that a pair of alleles is separated, or segregated, during the formation of gametes?"
10221,"Sounds or pictures can be encoded in pulses of what, which are then sent through an optical fiber?"
10222,What substance are physical objects are made of?
10223,Why do mangrove trees rise high above the water? which characteristic help them to do so?
10224,What fertilizes an egg during sexual reproduction?
10225,How does the fungus benefit from the photosynthesizer?
10226,What is the name for unsaturated hydrocarbons that contain at least one double bond?
10227,What is the term for  a loop in which a product feeds back to control its own production?
10228,During what period on earth was coal formed?
10229,What is the term for the visible part of the electromagnetic spectrum?
10230,Which vertebrates were the first with four limbs?
10231,How do plants support themselves above the ground to get light and oxygen?
10232,"What process starts with glucose and ends with two pyruvate molecules, a total of four atp molecules and two molecules of nadh?"
10233,What paired organs help regulate blood pressure through sodium ion and water retention and loss?
10234,What is the age-related disorder that causes the gradual loss of bone density and strength?
10235,What are microfilaments made out of?
10236,"Which bones are the large, curved bones that form the lateral and anterior aspects of the pelvis?"
10237,What bifurcates into the right and left bronchi in the lungs?
10238,What is the spreading of white light into its full spectrum of wavelengths called?
10239,What type of fertilization usually occurs in aquatic environments where both eggs and sperm are released into the water?
10240,What is the energy of motion called?
10241,Overharvesting is especially challenging for species with what type of habitat?
10242,What is a representation of the valence electrons of an atom that uses dots around the symbol of the element?
10243,"Massive quanta, like electrons, also act like macroscopic particles—something we expect, because they are the smallest what?"
10244,The simplest example of what type of 'organ system' is the gastrovascular cavity found in organisms with only one opening for the process?
10245,Photographs of the heat emitted by an object are called what?
10246,Graphite is a form of elemental carbon what is another form?
10247,"If everything else stays the same in a system with a gas in it, and the gas gets warmer, what will happen to its pressure, generally?"
10248,"What term means a failure, insufficiency, or delay in the response of the immune system, which may be acquired or inherited?"
10249,The mature pollen grain is composed of two cells: the pollen tube cell and which other cell?
10250,"The neck of the uterus, called the cervix, opens into what?"
10251,Where does the small intestine begin?
10252,What type of shape does a pelvic inlet have?
10253,Which stage of life is typically easier for learning multiple languages?
10254,What is released from the body during ejaculation?
10255,An organism's unique role in the ecosystem is called its what?
10256,"With the exception of water, what accounts for more mass than any other component of living organisms?"
10257,"Atoms are combined, separated, or rearranged during what?"
10258,How many electrons does lithium have?
10259,What is considered the center of the solar system?
10260,What is the purpose of your body's first line of defense?
10261,What functions as a framework that reinforces the shape of the leaf?
10262,"Like quarks, gluons may be confined to systems having a total color of what?"
10263,The ozone layer protects the earth from what?
10264,What type of learning is based on past experience and reasoning?
10265,What type of energy from a warm cola results in melting when it is transferred to the much colder ice?
10266,What is the term for a connection between a neuron and its target cell?
10267,What does the slope of a position-time graph represent?
10268,What effect causes an object to appear to have a change of motion?
10269,A carcinogen is nything in the environment that can cause what disease?
10270,What does the blue color of the pulmonary arteries reflect?
10271,The trade winds are nearest what?
10272,Digestion of polysaccharides and disaccharides in the small intestine produces glucose and other?
10273,What is the term for the smallest blood vessels?
10274,In what type of body of water is most of the earth's water located?
10275,What is one problem with current methods of aluminum production?
10276,What makes the earth habitable for humans?
10277,Which kind of flowers carry both male and female floral organs?
10278,"Historically, certain bacteriophages have also been used as cloning vectors for making what?"
10279,An allele is an alternative form of what structure?
10280,All photosynthetic organisms contain a pigment called what?
10281,"Mammals may either be herbivores, omnivores or what else?"
10282,What phenomenon sometimes causes harmful alleles to become fixed?
10283,How do you determine the atomic weight of an element?
10284,Sodium and chlorine combine to make what?
10285,What can bacterial stis be cured with?
10286,What do bees do for flowering plants?
10287,Where do streams often start?
10288,Deletions remove one or more what from the dna?
10289,"For geneticists, the findings of what massive undertaking are significant in determining disease-causing alleles?"
10290,Does deforestation increase or decrease carbon dioxide levels around the world?
10291,Which material used in oxyacetylene torches helps cut and weld metals?
10292,"Peroxisomes perform a couple of different functions, including lipid metabolism and chemical detoxification. in contrast to the digestive enzymes found in lysosomes, the enzymes within peroxisomes serve to transfer hydrogen atoms from various molecules to oxygen, producing what?"
10293,"Ethylene, gibberellins, cytokinins, absciscic acid, and auxins are examples of what?"
10294,What are some uses of chlorine gas?
10295,"Designed to exchange materials, what spongy structure consists of membranes and blood vessels from both mother and embryo?"
10296,"Even though tellurium does indeed have a greater average atomic mass than iodine, it is properly placed before iodine in the?"
10297,"In a fullerene, what atoms are bonded to three other atoms in a soccer ball pattern?"
10298,What do you call the light particles that travel through the radiative zone?
10299,"What is a mixture of potassium nitrate, sulfur, and charcoal?"
10300,Opportunistic diseases are usually the direct cause of death of people with what disease?
10301,What is the name of an uncharged particle whose weight is nearly equal to that of a proton?
10302,The chemical symbol of which ion is written first in ionic compounds?
10303,"What is the opposite of rarefaction zones, where air molecules in waves are loosely packed?"
10304,What organs secrete hormones that help maintain homeostasis?
10305,"The nuclear envelope is a double-layered plasma membrane like the cell membrane, although without what?"
10306,What is another name for a radioactive isotope?
10307,Dietary proteins are broken down into amino acids during what process?
10308,Some gametophytes develop underground and form mycorrhizal associations with what?
10309,What is the nervous tissue in the brain and in the rest of the nervous system made up of?
10310,How do planets usually rotate to their orbital planes?
10311,What are algae that live in colonies of hundreds of cells called?
10312,Irrigation can waste a lot of what natural resource?
10313,What drives puberty in male humans?
10314,What is our largest source of energy?
10315,Helium-3 is produced by beta decay of a certain what?
10316,What do animals require to grow and develop?
10317,What term is used to describe the process by which organisms give rise to offspring?
10318,What are the nonliving matter that living things need called?
10319,What term is used to express the measurement of how high land is above sea level?
10320,A pulley is a simple machine that consists of a grooved wheel and?
10321,What is another name for a broad explanation that is supported by a great deal of evidence?
10322,Vinegar is a solution of which acid?
10323,Which system does the large and small intestine belong to?
10324,Particles of matter have the most definite shape in what material state?
10325,What body system allows humans to move?
10326,High decibel sounds can damage your?
10327,What are the dark areas that appear on the sun called?
10328,"Fusion is another nuclear process that can be used to produce energy. in this process, smaller nuclei are combined to make larger nuclei, with an accompanying release of this?"
10329,"One common form of mate choice, called assortative mating, is an individual’s preference to mate with partners who are what?"
10330,What powerful microscopes use a beam of subatomic particles instead of a beam of light?
10331,Which scientist built the first telescope?
10332,What type of bacteria change nitrogen gas from the atmosphere to nitrates in soil?
10333,If no unbalanced force acts on an object the object remains at constant velocity or what?
10334,"What group of organisms was initially misclassified as plants because they also lack the ability to move, grow in soil, and have cell walls?"
10335,How does the epidermis renew its layer?
10336,What is it called when crystals form from magma?
10337,What type of symmetry does an octopus have?
10338,What is necessary in a person who wishes to play wind instruments?
10339,What is the scientific term for climates with the least moisture?
10340,What's the term for a piece of an organism breaking off and forming a new organism?
10341,"What animal group can be found in every environment on earth, but primarily in the warm and moist tropics?"
10342,Most people can survive only a few days without what essential substance?
10343,The vegetal pole refers to the concentration of what toward one pole of an egg?
10344,What machines have scientist built to smash particles that are smaller than atoms into each other head-on?
10345,What type of relationship occurs between organisms when one member benefits without affecting the other?
10346,"The type of what dictates how far it can penetrate into matter, such as lead or human flesh?"
10347,What role do proteins play in a biological reaction?
10348,"If you drive or take the bus to school or work, you are using a vehicle that probably burns gasoline, a material that burns fairly easily and provides energy to power the vehicle. recall that burning is a?"
10349,Muscles are composed mostly of cells called what?
10350,Conifers are the most prevalent type of what plant group?
10351,What element enters the body when an organism breathes?
10352,Bonding in molecules with resonance forms is better described by which theory?
10353,"In places like the grand canyon, hard rocks that are resistant to weathering form what, while softer rocks that weather more easily form slopes?"
10354,When two skateboarders push against each other what happens?
10355,The three layers of protective coverings of the spinal cord is called what?
10356,A measure of how close a series of measurements are to one another is what?
10357,Ionic compounds contain cations and anions rather than what?
10358,Are giraffes herbivores or are they omnivores?
10359,"Respectively, which parts of the circulatory system carry blood from the heart toward capillaries, and return blood to the heart from capillaries?"
10360,"It was not until the era of the ancient greeks that we have any record of how people tried to explain the chemical changes they observed and used. at that time, natural objects were thought to consist of only four basic elements: earth, air, fire, and this?"
10361,"In science, what do we call a mathematical relationship that exists between observations under a given set of conditions?"
10362,What conducts nerve-like electrical signals that help integrate whole-plant function?
10363,"Found in many products, such as petri dishes, agar is made from mucilagnious material in this?"
10364,What is the process of capturing a substance or particle from outside the cell by engulfing it with the cell membrane?
10365,What are the layered rocks that form when certain prokaryotes bind thin films of sediment together?
10366,Where are the taste buds located in humans?
10367,What describes the way light reflects off of the surface of the mineral?
10368,What tissue consists of cells that form the body’s structure?
10369,What forms at the boundary between two air masses?
10370,Nitrogen wastes are produced by the breakdown of what during normal metabolism?
10371,"In the humoral response, what protein substances help neutralize or eliminate toxins and pathogens in the blood and lymph?"
10372,Most ferns produce the same type of spores and are therefore called what?
10373,In which way do sunspots occur?
10374,What is the most important source of electromagnetic waves on earth?
10375,"Conifers are the dominant phylum of gymnosperms, with the most variety of species. most are tall trees that usually bear scale-like or needle-like leaves. the thin shape of the needles and their waxy cuticle limits water loss through this?"
10376,Connecting to the brainstem and extending down the body through the spinal column is the spinal cord. the spinal cord is a thick bundle of nerve tissue that carries information about the body to this?
10377,Where do most cubozoans live?
10378,What type of treatment is being researched that may cure or prevent genetic disorders?
10379,"What are the names of foul-smelling amines, formed as a part of the decay process after death?"
10380,What's it called when the reaction is sped up until equilibrium is established?
10381,What are the smallest particles of water called?
10382,The hormone androgen increases aggressiveness and promotes what type of behaviors?
10383,Which currents distribute heat around the planet and have a large impact on climate?
10384,What type of gas is a harmless gas that living things add to the atmosphere during respiration?
10385,What is formed when hot lava cools?
10386,Which radiations helps sterilize medical supplies?
10387,"What type of receptors, also known as intracellular or cytoplasmic receptors, are found in the cytoplasm of the cell and respond to hydrophobic ligand molecules that are able to travel across the plasma membrane?"
10388,Why is water important for the nervous system?
10389,What term means the tendency of a mineral to break along certain planes?
10390,What are the parts used in electronic devices such as computers called?
10391,What type of function does the long bone perform?
10392,Metabolism includes both anabolic and which other reaction?
10393,A virus is essentially dna or rna surrounded by a coat of what?
10394,What is the process of generating electric current with a magnetic field?
10395,Increasing what property of dirt would make it easier to rinse off your hands?
10396,Net production efficiency allows ecologists to quantify how efficiently organisms of a particular what incorporate the energy they receive into biomass?
10397,Some hormones produced by the anterior pituitary regulate the production of hormones by other tissues belonging to what system?
10398,A warm-air heating system uses what kind of energy to heat air?
10399,"Which type of galaxies contain very little gas and dust, are red to yellow in color, contain over a trillion stars and have mostly old stars?"
10400,What is a controlled scientific test that often takes place in a lab?
10401,What causes the endometrium to thicken during a menstrual cycle?
10402,What process refers to the conversion of atmospheric nitrogen to ammonia?
10403,What is it called when two species evolve matching traits?
10404,What is the term for water that falls from clouds?
10405,Echinoderms lack what type of system that in humans consists of the brain and spinal cord?
10406,What class of invertebrate animals has additional appendages called the chelicerae and the pedipalps?
10407,The burning of what type of fuels is a major source of sulfur oxides and nitrogen oxides?
10408,What is the science of classifying living things is called?
10409,What is it called when your joints start to wear out and they become stiff and painful?
10410,"Gas, liquid, and solid describe what property of matter?"
10411,Differences in fitness among different members of a population can lead to what kind of selection?
10412,What cells carry oxygen?
10413,What coenzyme is used in the transfer of energy in muscles?
10414,Which asexual reproduction method do starfish use to reproduce?
10415,"What enables gamma rays to pass through hard matters like bones, teeth, and just about anything?"
10416,"What type of mammals includes opossums, kangaroos, and koalas?"
10417,What do we call animals that have a backbone and belong to the phylum chordata?
10418,Living organisms are affected by changes in ph which can include basic conditions and what other kinds of conditions?
10419,What makes up most of the interior of a plant?
10420,"What part of a plant, which is attached to its stem nodes, is the ""main organ"" of photosynthesis?"
10421,"Experiments have shown that acceleration is exactly inversely proportional to mass, just as it is exactly linearly proportional to what?"
10422,What term describes a disease in which the immune system attacks the body’s own cells?
10423,Flow of what can introduce alleles that are advantageous or ones that are disadvantageous?
10424,A life cycle continues through reproduction and what?
10425,"Bacteria are like eukaryotic cells in that they have cytoplasm, ribosomes, and a?"
10426,"When zinc metal is mixed with sulfur and heated, what is produced?"
10427,"What cage composed of 12 pairs of ribs, with their costal cartilages and the sternum, protects the heart and lungs?"
10428,What is the ability of an atom to emit charged particles and energy from its nucleus called?
10429,Diffusion is an effective transport mechanism over the spatial scales typically found at what level?
10430,"In a car race on a circular track, where the start and finish line are the same, what quantity is neglible?"
10431,What is another name for molecular compounds?
10432,The long mouth-tube that some insects  use to suck up the nectar of the flower is called what?
10433,Cnvs result from regions of what being duplicated or deleted inconsistently within the population?
10434,"Insects can have specialized mouthparts, such as a proboscis, to siphon the nectar from what?"
10435,What is the invisible force that pulls things to earth?
10436,What do we call the seasonal movement of animals?
10437,What kind of beneficial relationships with other organisms are common in the plant kingdom?
10438,Some marine algae have evolved special structures capable of what plant process?
10439,What is the substance called whenatoms of different elements join together?
10440,What type of solid has atoms arranged in a repeating pattern?
10441,What is the process called when secretory cells export products?
10442,Natural resources that are limited in supply and cannot be replaced except over millions of years are known as what?
10443,What is a hydrocarbon in which the carbon chain joins to itself in a ring?
10444,"The first photosynthetic organisms were not plants, but types of what that lived in the water?"
10445,What is the second stage of photosynthesis?
10446,Which layer is the lithosphere located?
10447,What is speed at any given instant called?
10448,"During birth, a baby passes from the uterus through what organ to leave the body?"
10449,What type of earthquake creates a tsunami?
10450,What is the smallest of the galilean moons?
10451,What is the term for a combination of substances in which there is no chemical reaction?
10452,Where does the majority of chemical digestion occur?
10453,"The vertebrate endoskeleton includes a vertebral column, cranium, limbs, and what else?"
10454,What is defined as the velocity of the object at a given moment?
10455,What is the term for an expression showing the relationship of the reaction rate to the concentrations of each reactant?
10456,How many pi bonds are found in a triple bond?
10457,What is formed when an acidic solution and a basic solution react together in a neutralization reaction?
10458,What is the causative agent of sleeping sickness in humans?
10459,"Living things that use energy to make food, both for themselves and other living things, are what part of an ecosystem?"
10460,"In science, what process produces evidence that helps answer questions and solve problems?"
10461,What cellular structure is used during endocytosis to allow molecules to enter the cell?
10462,What are unique about prokaryotic cells' organelles?
10463,How long ago did the ancestors of mammals evolve?
10464,A  d. melanogaster population has an average heterozygosity of what?
10465,Traits that are affected by more than one gene are what type of traits?
10466,Pharmacist and surveyor are two career options based in what type of science?
10467,What is another term for foodborne illness?
10468,The mechanical advantage of a machine is related to how it changes what?
10469,What term in physics refers to the use of force to move an object?
10470,What is the name of the organelle that helps make and transport proteins and lipids?
10471,"What machine is used to determine the calories in food, as well as the average heat yield from burning various grades of coal and oil?"
10472,What is the name of the outer part of the adrenal gland located above the kidneys?
10473,What kind of energy used heat from magma within the earth to heat homes or produce steam that turns turbines?
10474,"The primary output of the basal nuclei is to the thalamus, which relays that output to where?"
10475,The central nervous system is composed of the brain and what else?
10476,A group of genetically identical individuals is called what?
10477,Where on the earth's surface does the water cycle takes place?
10478,Under which conditions do many bacteria carry out alcohol fermentation?
10479,Fermat's principle states that what will always take the path that takes the least amount of time?
10480,What trend is occurring involving the extent of arctic sea ice in summer?
10481,"In vertebrates, cholesterol is synthesized in which organ and obtained from the diet?"
10482,What is a group of lions called?
10483,Which layer is found below the lithosphere?
10484,What is the name for the nonliving parts of ecosystems?
10485,What do you call the electrons in the outermost energy level of an atom?
10486,What are some of the giant fairy rings produced by?
10487,What are ingrowths on arthropod exoskeletons to which muscles attach?
10488,Which type of electrons plays the most important role in chemical reactions?
10489,What level is greater than 7 in a basic solution?
10490,What happens to volume as the temperature increases?
10491,What does an array of radio telescopes collect?
10492,What kind of compounds contain positively and negatively charged ions in a ratio that results in an overall charge of zero?
10493,What are formed when crystals precipitate out from a liquid?
10494,"Roundworms exemplify what type of organization, where two or more types of tissues work together to perform a particular function as an organ?"
10495,Where are protons and neutrons located?
10496,Why do hummingbirds have long narrow bills?
10497,Bivalvia and gastropoda are classes of what phylum?
10498,"Kinetic energy of moving particles of matter, measured by their temperatures are known as:"
10499,What is the term for a process that changes some chemical substances into others?
10500,The diagnosis of a disease or condition before the baby is born is called?
10501,A heterogeneous mixture of particles of one substance distributed throughout a second substance in a different phase is known as what?
10502,On what type of land does runoff cause more erosion?
10503,What kind of fats have been implicated in the presence of heart disease?
10504,Inducible enzymes usually function in what type of pathways?
10505,"Since electrons are charged, their intrinsic spin creates a what?"
10506,What do bats use to determine the location of objects?
10507,Caffeine is an example of what type of drug?
10508,What is the use of technology to change the genetic makeup of living things for human purposes?
10509,What distinctive configuration of dna demonstrates the base-pairing nature of the bases?
10510,Lipids are broken down by what?
10511,What are considered to be the most basic concepts in the field of physical science?
10512,What are materials that can be magnetized called?
10513,Toxic compounds in the environment have the most severe impact on animals that are top-level what?
10514,"In genetics, what do you call characteristics that are passed from a parent to child?"
10515,One gram of proteins provides how many calories of energy?
10516,What kind of succession occurs in an area that has never before been colonized?
10517,A sprain is a strain or tear in what part of the body?
10518,Which gland is located in the sella turcica of the sphenoid bone within the cranial floor?
10519,What is light that has only a single wavelength called?
10520,Combined substances are either compounds or what?
10521,What are the catalysts that occur naturally in living organisms and are primarily protein molecules?
10522,Amino acid units in a protein are connected by what bonds?
10523,Magnetism is due to the movement of what within atoms?
10524,Ground subsidence is a consequences of the overuse of what?
10525,What organ do most fish have that is used to detect movement and vibration in the surrounding water?
10526,Excretion is the process of removing excess water and wastes from the body. what are the main organs of excretion?
10527,What is caused by the same virus that causes chicken pox?
10528,"Amniotes are animals that produce eggs with membranes possessing what property, which allowed them to lay eggs on land?"
10529,"When water particles become hot enough to overcome the force of attraction between them, what happens to the water?"
10530,"In mammals, what layer protects the egg?"
10531,"After infecting a host, what inactive state do some viruses enter?"
10532,Changes in the number of what can lead to disorders like down syndrome?
10533,What are centrioles made from?
10534,What of most species are resistant cells that can survive harsh conditions?
10535,Animals can not produce their own food making them _________.
10536,"In the stomach, which material's arrival triggers churning and the release of gastric juices?"
10537,What is the term for seed plants?
10538,"Cnidarians have a simple digestive system with a single opening surrounded by what type of structures, which are used to capture prey?"
10539,"What is the state of matter that resembles a gas, but is made of ions, giving it different properties than a typical gas?"
10540,Natural selection for what type of trait changes the distribution of phenotypes?
10541,Systemic veins return blood low in what to the right atrium?
10542,The three long muscles on the back of the knee are part of which group?
10543,"What shapes, supports, and protects the cell?"
10544,"What process, which results because of great pressure at the center of a star, causes stars to shine?"
10545,What do we call the formation of a gas from a liquid at temperatures below the boiling point?
10546,What is a sugar that is found in fruits?
10547,What are unsaturated hydrocarbons with at least one triple bond between carbon atoms?
10548,Are ecotones wide or narrow?
10549,Which infection of multicellular eukaryotes is usually limited to particular tissues?
10550,What is the term for the breakdown of unstable isotopes into stable elements?
10551,What are the light wavelengths that the human eye can detect called?
10552,Most of the energy used by living things comes either directly or indirectly from what?
10553,"Population growth is determined by rates of birth, death, immigration, and what else?"
10554,"What works by selecting for alleles that confer beneficial traits or behaviors, while selecting against those for deleterious qualities?"
10555,"Paint keeps oxygen and water from coming into direct contact with the metal, which prevents what?"
10556,What type of electrons do all group 14 elements have four of?
10557,List the three major types of blood vessels.
10558,Acetone is the simplest type of what organic compound that involves a carbonyl in which the carbon atom makes single bonds with two other carbon atoms?
10559,"What term is used to describe birds that hunt, eat mammals, and other birds?"
10560,What do you call a compound that contains both an amino group and a carboxyl group in the same molecule?
10561,"What system consists of structures that produce eggs, secrete female sex hormones, and ultimately enable birth of a fetus?"
10562,The medieval catapult has a heavy ballast on one end and what on the other end?
10563,"What period starts after the baby is born, and the placenta is expelled from the body?"
10564,What do you call the lightless part of the ocean?
10565,The creation of a voltage across a current-carrying conductor by a magnetic field is known as what?
10566,"Pavement cells, large, irregularly shaped parenchymal cells which lack chloroplasts, make up the majority of what?"
10567,What do convergent plate boundaries with trenches have?
10568,Around what percentage of the earth's surface water is contained in the ocean?
10569,What celestial structure does not give off its own light?
10570,Which rule is a result of trends in energies and is useful in explaining why atoms form the ions that they do?
10571,What is the second most common type of cancer in both men and women?
10572,What is the main difference between prokaryotic and eukaryotic cells?
10573,What is a layer of saturated porous rock?
10574,"What element, which often forms polymers, has a unique ability to form covalent bonds with many other atoms?"
10575,"Early in the development of a human fetus, the skeleton is made entirely of what?"
10576,What type of disease can be treated by radioactive elements in glucose?
10577,What theory of gases describes this state of matter as composed of tiny particles in constant motion with a lot of distance between the particles?
10578,"When egg laying and mating occur together, as in external fertilization, the certainty of what is high?"
10579,"What control reproductive cycles, which are in turn regulated by environmental cues?"
10580,Which gas is responsible for global warming?
10581,The short length of what in women is the best explanation for the greater incidence of uti in women?
10582,What type of cells are flagella rare in?
10583,Solids and liquids are phases of matter that have their own unique what?
10584,What do many fungi secrete that break down complex molecules to smaller molecules that can be absorbed?
10585,All three types of convergent plate boundaries produce what destructive phenomenon?
10586,How do plants obtain their energy?
10587,"The mouth, stomach, esophagus, small intestine, and large intestine are all part of what organ system?"
10588,An environment in which cells neither sink nor swell is known as what?
10589,Particulates from cigarette smoke that enter what structures can cause a permanent reduction in lung capacity?
10590,Terrestrial arthropods generally have internal surfaces specialized for what?
10591,What are the two groups that tripoblastic eucoelomates can be divided into based on early embryonic development differences?
10592,What part of the cell is surrounded by a membrane and holds the genetic information for the cell?
10593,What are angiosperms most important function to humans?
10594,How many atoms are evenly organized around a central atom?
10595,What are formed by atoms gaining electrons?
10596,What type of fish are the majority of living species?
10597,What are the light highlands of the moon called?
10598,"The shape of earlobes is an example of what kind of trait, which is influenced by genes and passed along through generations?"
10599,"Mosses, liverworts, and hornworts are examples of what type of plant in which gametophyte generation is dominant?"
10600,Release of spores in a suitable environment will lead to germination and a new generation of what?
10601,Why are living things considered to be renewable?
10602,What is the term for the metabolic reaction where living systems build new molecules?
10603,Name the three types of muscle tissue.
10604,Cellular respiration and photosynthesis are important parts of which cycle?
10605,What are the winds that occur in belts that encircle the planet?
10606,"Human mammary glands can produce what substance, which can be used to feed children?"
10607,What is a prerequisite for fertilization to take place in plants?
10608,Water is allowed to flow downhill into a large turbine to harness power. what helps the turbine spin?
10609,The movement of bone away from the midline of the body is called what?
10610,What occurs when so much water enters a stream or river that it overflows its banks or when deep snow melts very quickly in spring?
10611,What is the cause of the “heartburn” that occurs when acidic digestive juices escape into the esophagus?
10612,"By 180 million years ago, pangaea began to do what?"
10613,What has  a single voltage source and a single resistor
10614,What property is associated with the number of reactant molecules involved in an elementary step?
10615,"During an earthquake, wet soils become like what?"
10616,What helps sound travel in waves?
10617,What kind of relationship between glucagon and insulin is vital to managing fuel storage and consumption by body cells?
10618,The yellowstone hot spot is a famous example of a what?
10619,Ionic compounds take on the form of extended three-dimensional arrays of cations and what else?
10620,Electric generators convert what type of energy to electric energy?
10621,What can autographs do that heterotrophs cannot do?
10622,"The primary amine in which the nitrogen atom is attached directly to a benzene ring has a special name, what is it?"
10623,What  is formed when each sodium atom donates its single valence electron to a chlorine atom?
10624,"The fujita scale measures the intensity of what weather event, based on wind speed and damage?"
10625,What allows the electrons to move in an electrochemical system.
10626,The simplest type of battery contains what?
10627,"A newborn baby has a soft spot on the top of its head. over the next few months, the soft spot gradually does what?"
10628,Microwaves are converted into what kind of energy in a microwave oven?
10629,What is the process of moving air into and out of the lungs called?
10630,What plays the same role in rotational motion that force plays in linear motion.
10631,Ions are charged what?
10632,What occurs when a parent cell splits into two identical daughter cells of the same size?
10633,"What kind of scientist is concerned with facets of geomorphology, topography, vegetation, and climate?"
